Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors,Student_Number
Bayside,12:00pm - 1:00pm,2024-08-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A14059727BZD
Bayside,9:00am - 10:00am,2024-08-29,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,3,F,,,,,A14988029BZD
Rydell High School,12:00pm - 1:00pm,2024-08-26,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A15236435BZD
Bayside,1:00pm - 2:00pm,2024-08-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A14059727BZD
Bayside,8:00am - 9:00am,2024-08-29,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A15142076BZD
Shermer High School,10:00am-11:00am,2024-08-30,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,H,,M,9,P,,,,,A12498257BZD
Rydell High School,Before School,2024-08-29,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,F,,,,,A15236435BZD
Rydell High School,8:00am - 9:00am,2024-08-26,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,-1,P,,,,,A16747199BZD
Rydell High School,8:00am - 9:00am,2024-08-27,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,-1,P,,,,,A16747199BZD
Rydell High School,8:00am - 9:00am,2024-08-30,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,-1,P,,,,,A16747199BZD
Rydell High School,10:00am-11:00am,2024-08-30,Minor Violation (5 times in the same quarter),Other,,,,W,,M,2,P,,,,,A15993329BZD
Bayside,10:00am-11:00am,2024-09-03,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,F,,,,,A14988029BZD
Bayside,2:00pm -3:00pm,2024-09-03,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,,,W,,M,4,F,,,,,A15089432BZD
Rydell High School,9:00am - 10:00am,2024-09-03,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,-1,P,,,,,A16747199BZD
Bayside,10:00am-11:00am,2024-08-20,Major Violation,,Fighting,,,W,,M,3,F,,,,,A15465983BZD
Bayside,10:00am-11:00am,2024-08-09,Major Violation,,Continued Misconduct,,,W,,M,4,F,,,,,A14843549BZD
Bayside,1:00pm - 2:00pm,2024-09-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,P,,,,,A15063014BZD
Bayside,1:00pm - 2:00pm,2024-09-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A14850692BZD
Bayside,2:00pm -3:00pm,2024-09-04,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A15142076BZD
Bayside,11:00am - 12:00pm,2024-09-04,Major Violation,,"Assault,Harassment",,,W,,F,2,F,,,,,A15973097BZD
Bayside,10:00am-11:00am,2024-09-04,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,P,,,,,A15849581BZD
Bayside,10:00am-11:00am,2024-09-04,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,P,,,,,A15849578BZD
Bayside,11:00am - 12:00pm,2024-09-03,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,1:00pm - 2:00pm,2024-09-04,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,F,,,,,A15659372BZD
Rydell High School,9:00am - 10:00am,2024-09-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,-1,P,,,,,A16747199BZD
Bayside,11:00am - 12:00pm,2024-09-05,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,3,F,,,,,A14988029BZD
Bayside,9:00am - 10:00am,2024-09-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,10:00am-11:00am,2024-09-05,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,P,,,,,A15717014BZD
Bayside,1:00pm - 2:00pm,2024-09-05,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,F,,,,,A15659372BZD
Bayside,2:00pm -3:00pm,2024-09-05,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,F,,,,,A15659372BZD
Bayside,8:00am - 9:00am,2024-09-06,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,3,F,,,,,A14988029BZD
Bayside,1:00pm - 2:00pm,2024-09-06,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,P,,,,,A15142049BZD
Shermer High School,8:00am - 9:00am,2024-09-09,Minor Violation (5 times in the same quarter),Other,,,,W,,F,10,F,,,,,A13292480BZD
Shermer High School,11:00am - 12:00pm,2024-09-09,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,11,F,,,,,A12481682BZD
Shermer High School,11:00am - 12:00pm,2024-09-09,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,11,P,,,,,A12419144BZD
Shermer High School,11:00am - 12:00pm,2024-09-09,Minor Violation (5 times in the same quarter),Disruption,,,,H,,M,11,F,,,,,A12685229BZD
Bayside,10:00am-11:00am,2024-09-09,Major Violation,,Continued Misconduct,,,W,,M,3,F,,,,,A14988029BZD
Rydell High School,9:00am - 10:00am,2024-09-09,Major Violation,,Exceeded minor maximum count,,,W,,M,-1,P,,,,,A16747199BZD
Bayside,11:00am - 12:00pm,2024-09-09,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,2:00pm -3:00pm,2024-09-09,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,2:00pm -3:00pm,2024-09-09,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,3,F,,,,,A15144467BZD
Bayside,9:00am - 10:00am,2024-09-10,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,P,,,,,A15717014BZD
Hill Valley High School,9:00am - 10:00am,2024-09-10,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,P,,,,,A16001534BZD
Shermer High School,8:00am - 9:00am,2024-09-10,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,10,F,,,,,A13292480BZD
Shermer High School,11:00am - 12:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,10,F,,,,,A13292480BZD
Shermer High School,10:00am-11:00am,2024-09-10,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,11,F,,,,,A12481682BZD
Bayside,1:00pm - 2:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A14850692BZD
Bayside,1:00pm - 2:00pm,2024-09-09,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,P,,,,,A14011100BZD
Shermer High School,11:00am - 12:00pm,2024-09-10,Major Violation,,Continued Misconduct,,,W,,F,10,F,,,,,A13292480BZD
Bayside,1:00pm - 2:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A15850814BZD
Bayside,1:00pm - 2:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A15849686BZD
Bayside,1:00pm - 2:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Other,,,,W,,M,2,R,,,,,A15849737BZD
Bayside,1:00pm - 2:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A15470483BZD
Bayside,8:00am - 9:00am,2024-09-11,Minor Violation (5 times in the same quarter),Other,,,,W,,M,2,F,,,,,A14439311BZD
Hill Valley High School,11:00am - 12:00pm,2024-08-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,3,P,,,,,A15236645BZD
Hill Valley High School,11:00am - 12:00pm,2024-08-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,3,F,,,,,A15626201BZD
Bayside,12:00pm - 1:00pm,2024-09-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A14850692BZD
Bayside,11:00am - 12:00pm,2024-09-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,2,F,,,,,A15849686BZD
Rydell High School,Before School,2024-09-11,Minor Violation (5 times in the same quarter),Other,,,,B,,F,3,R,,,,,A15145367BZD
Bayside,2:00pm -3:00pm,2024-09-11,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,3,F,,,,,A14879249BZD
Bayside,2:00pm -3:00pm,2024-09-11,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,3,F,,,,,A15437579BZD
Bayside,2:00pm -3:00pm,2024-09-06,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,W,,M,3,F,,,,,A14988029BZD
Bayside,9:00am - 10:00am,2024-09-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,P,,,,,A13383923BZD
Bayside,2:00pm -3:00pm,2024-09-11,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15597995BZD
Bayside,9:00am - 10:00am,2024-09-12,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,F,,,,,A15659372BZD
Bayside,9:00am - 10:00am,2024-09-12,Minor Violation (5 times in the same quarter),Other,,,,W,,F,4,P,,,,,A16568006BZD
Bayside,9:00am - 10:00am,2024-09-12,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A15089432BZD
Shermer High School,10:00am-11:00am,2024-09-12,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,9,F,,,,,A13368554BZD
Bayside,9:00am - 10:00am,2024-09-12,Major Violation,,"Continued Misconduct,Leaving class/school without permission",,,W,,M,2,F,,,,,A15130133BZD
Bayside,11:00am - 12:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,P,,,,,A15849578BZD
Bayside,12:00pm - 1:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Other,,,,B,,F,4,F,,,,,A14517131BZD
Bayside,11:00am - 12:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,R,,,,,A14850713BZD
Bayside,1:00pm - 2:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,9:00am - 10:00am,2024-09-12,Minor Violation (5 times in the same quarter),Preparedness,,,,W,,F,3,F,,,,,A15283073BZD
Bayside,11:00am - 12:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,F,,,,,A15223601BZD
Bayside,11:00am - 12:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,P,,,,,A15849581BZD
Bayside,1:00pm - 2:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,F,,,,,A15089432BZD
Bayside,After School,2024-09-12,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A15089432BZD
Bayside,12:00pm - 1:00pm,2024-09-12,Major Violation,,Assault,,,W,,M,4,F,,,,,A15597938BZD
Bayside,10:00am-11:00am,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,,,B,,F,2,F,,,,,A15207464BZD
Bayside,1:00pm - 2:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15849686BZD
Bayside,11:00am - 12:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,2,F,,,,,A15849536BZD
Bayside,12:00pm - 1:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,F,,,,,A13728677BZD
Bayside,12:00pm - 1:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,F,,,,,A15089432BZD
Bayside,2:00pm -3:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,4,P,,,,,A14794331BZD
Bayside,2:00pm -3:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,R,,,,,A15142475BZD
Bayside,2:00pm -3:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,4,F,,,,,A14911667BZD
Bayside,2:00pm -3:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,P,,,,,A14011100BZD
Bayside,12:00pm - 1:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,12:00pm - 1:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,F,,,,,A15470471BZD
Bayside,12:00pm - 1:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,F,,,,,A15659372BZD
Hill Valley High School,2:00pm -3:00pm,2024-09-03,Major Violation,,Continued Misconduct,,,W,,M,3,F,,,,,A14434376BZD
Hill Valley High School,2:00pm -3:00pm,2024-08-27,Major Violation,,Assault,,,W,,F,1,P,,,,,A15849629BZD
Hill Valley High School,2:00pm -3:00pm,2024-08-15,Major Violation,,Continued Misconduct,,,W,,M,3,F,,,,,A14434376BZD
Hill Valley High School,11:00am - 12:00pm,2024-08-16,Major Violation,,Continued Misconduct,,,W,,M,3,F,,,,,A14434376BZD
Hill Valley High School,11:00am - 12:00pm,2024-08-21,Major Violation,,Continued Misconduct,,,W,,M,3,F,,,,,A14434376BZD
Hill Valley High School,Unknown,2024-08-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,3,F,,,,,A14434376BZD
Bayside,12:00pm - 1:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A15089432BZD
Hill Valley High School,8:00am - 9:00am,2024-08-16,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,F,,,,,A14434376BZD
Hill Valley High School,11:00am - 12:00pm,2024-08-23,Minor Violation (5 times in the same quarter),Other,,,,W,,M,3,F,,,,,A14434376BZD
Bayside,11:00am - 12:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,2,F,,,,,A16417805BZD
Bayside,9:00am - 10:00am,2024-09-16,Minor Violation (5 times in the same quarter),Other,,,,W,,F,4,F,,,,,A15142526BZD
Bayside,9:00am - 10:00am,2024-09-16,Minor Violation (5 times in the same quarter),Other,,,,W,,F,4,F,,,,,A15142052BZD
Shermer High School,9:00am - 10:00am,2024-09-16,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,8,F,,,,,A13607390BZD
Rydell High School,11:00am - 12:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,A,,F,1,F,,,,,A15877265BZD
Bayside,12:00pm - 1:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,F,,,,,A14850719BZD
Bayside,11:00am - 12:00pm,2024-09-10,Major Violation,,Continued Misconduct,,,W,,M,3,F,,,,,A14988029BZD
Hill Valley High School,10:00am-11:00am,2024-09-05,Major Violation,,Continued Misconduct,,,W,,M,3,F,,,,,A14434376BZD
Bayside,12:00pm - 1:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,3,F,,,,,A15319214BZD
Bayside,12:00pm - 1:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,3,F,,,,,A15598055BZD
Bayside,11:00am - 12:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,3,F,,,,,A15378911BZD
Bayside,11:00am - 12:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,F,,,,,A15465956BZD
Shermer High School,1:00pm - 2:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,8,F,,,,,A13607390BZD
Bayside,2:00pm -3:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,3,F,,,,,A15283073BZD
Bayside,2:00pm -3:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15849686BZD
Bayside,2:00pm -3:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15470483BZD
Bayside,Unknown,2024-09-16,Major Violation,,Continued Misconduct,,,W,,M,2,F,,,,,A15659372BZD
Bayside,12:00pm - 1:00pm,2024-09-17,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A15142544BZD
Bayside,1:00pm - 2:00pm,2024-09-17,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,F,,,,,A15277364BZD
Bayside,11:00am - 12:00pm,2024-09-17,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15470483BZD
Shermer High School,11:00am - 12:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,9,F,,,,,A13065230BZD
Bayside,11:00am - 12:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Other,,,,P,,F,2,F,,,,,A16174169BZD
Bayside,1:00pm - 2:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,F,,,,,A15849578BZD
Bayside,2:00pm -3:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,F,,,,,A15597938BZD
Bayside,2:00pm -3:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15470483BZD
Bayside,10:00am-11:00am,2024-09-18,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,F,,,,,A15849686BZD
Bayside,1:00pm - 2:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A14011100BZD
Shermer High School,10:00am-11:00am,2024-09-19,Minor Violation (5 times in the same quarter),Insubordination,,,,H,,M,11,F,,,,,A12685229BZD
Shermer High School,10:00am-11:00am,2024-09-19,Minor Violation (5 times in the same quarter),Disruption,,,,H,,M,11,F,,,,,A12685229BZD
Shermer High School,10:00am-11:00am,2024-09-19,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,11,F,,,,,A12419144BZD
Bayside,11:00am - 12:00pm,2024-09-19,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,2,F,,,,,A15849686BZD
Shermer High School,10:00am-11:00am,2024-09-19,Minor Violation (5 times in the same quarter),Other,,,,W,,M,11,F,,,,,A12419144BZD
Bayside,9:00am - 10:00am,2024-09-19,Minor Violation (5 times in the same quarter),Other,,,,H,,M,3,F,,,,,A16160957BZD
Shermer High School,10:00am-11:00am,2024-09-19,Major Violation,,Continued Misconduct,,,H,,M,11,F,,,,,A12685229BZD
Shermer High School,10:00am-11:00am,2024-09-19,Major Violation,,Continued Misconduct,,,W,,M,11,F,,,,,A12419144BZD
Bayside,8:00am - 9:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,3,F,,,,,A15437579BZD
Bayside,8:00am - 9:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,3,F,,,,,A15204425BZD
Bayside,12:00pm - 1:00pm,2024-09-20,Minor Violation (5 times in the same quarter),Other,,,,W,,F,4,F,,,,,A15027062BZD
Bayside,10:00am-11:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,3,F,,,,,A15144413BZD
Bayside,10:00am-11:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,,,H,,M,3,F,,,,,A16160957BZD
Bayside,12:00pm - 1:00pm,2024-09-20,Minor Violation (5 times in the same quarter),Other,,,,W,,F,4,F,,,,,A15142052BZD
Bayside,10:00am-11:00am,2024-09-20,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,2,F,,,,,A15597683BZD
Bayside,11:00am - 12:00pm,2024-09-20,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,4,F,,,,,A14850692BZD
Springfield Elementary,Before School,2024-09-06,Minor Violation (5 times in the same quarter),Other,,,,W,,M,1,F,,,,,A15903068BZD
Springfield Elementary,After School,2024-08-26,Minor Violation (5 times in the same quarter),Other,,,,W,,M,1,F,,,,,A15903068BZD
Springfield Elementary,9:00am - 10:00am,2024-09-04,Minor Violation (5 times in the same quarter),Other,,,,W,,F,0,F,,,,,A16709699BZD
Springfield Elementary,9:00am - 10:00am,2024-09-04,Minor Violation (5 times in the same quarter),Other,,,,B,,M,0,F,,,,,A16741145BZD
Springfield Elementary,11:00am - 12:00pm,2024-09-13,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16747481BZD
Springfield Elementary,1:00pm - 2:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Other,,,,W,,F,1,F,,,,,A15405575BZD
Springfield Elementary,10:00am-11:00am,2024-09-04,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,0,F,,,,,A16709399BZD
Springfield Elementary,9:00am - 10:00am,2024-09-17,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16030904BZD
Springfield Elementary,12:00pm - 1:00pm,2024-09-17,Minor Violation (5 times in the same quarter),Other,,,,W,,M,1,F,,,,,A15850136BZD
Springfield Elementary,1:00pm - 2:00pm,2024-08-19,Major Violation,,Assault,,,W,,F,0,F,,,,,A16709699BZD
Springfield Elementary,12:00pm - 1:00pm,2024-08-20,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16747481BZD
Bayside,12:00pm - 1:00pm,2024-09-23,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,F,,,,,A15034922BZD
Bayside,1:00pm - 2:00pm,2024-09-23,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,2,F,,,,,A15659372BZD
Bayside,8:00am - 9:00am,2024-09-24,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A16417805BZD
Bayside,8:00am - 9:00am,2024-09-24,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A16713839BZD
Bayside,9:00am - 10:00am,2024-09-24,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,9:00am - 10:00am,2024-09-24,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,3,F,,,,,A15598055BZD
Bayside,12:00pm - 1:00pm,2024-09-24,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,3,F,,,,,A14988029BZD
Bayside,10:00am-11:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,3,F,,,,,A15437579BZD
Shermer High School,9:00am - 10:00am,2024-09-24,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,11,F,,,,,A12761942BZD
Rydell High School,12:00pm - 1:00pm,2024-09-24,Minor Violation (5 times in the same quarter),Other,,,,W,,M,3,P,,,,,A14699717BZD
Rydell High School,12:00pm - 1:00pm,2024-09-24,Minor Violation (5 times in the same quarter),Other,,,,W,,M,3,P,,,,,A16689959BZD
Shermer High School,8:00am - 9:00am,2024-09-25,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,9,F,,,,,A13368554BZD
Hill Valley High School,11:00am - 12:00pm,2024-09-24,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,P,,,,,A15850796BZD
Hill Valley High School,2:00pm -3:00pm,2024-09-13,Major Violation,,Continued Misconduct,,,W,,M,3,F,,,,,A15635630BZD
Hill Valley High School,11:00am - 12:00pm,2024-09-20,Major Violation,,Assault,,,W,,M,3,F,,,,,A15467438BZD
Hill Valley High School,1:00pm - 2:00pm,2024-09-17,Major Violation,,Fighting,,,W,,M,3,F,,,,,A15467438BZD
Hill Valley High School,9:00am - 10:00am,2024-09-18,Major Violation,,Harassment,,,W,,M,3,F,,,,,A15467438BZD
Hill Valley High School,1:00pm - 2:00pm,2024-09-17,Major Violation,,Fighting,,,W,,M,3,F,,,,,A15467435BZD
Hill Valley High School,10:00am-11:00am,2024-09-11,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,0,P,,,,,A16817774BZD
Hill Valley High School,8:00am - 9:00am,2024-09-12,Major Violation,,Continued Misconduct,,,W,,M,1,P,,,,,A16327580BZD
Bayside,10:00am-11:00am,2024-09-25,Minor Violation (5 times in the same quarter),Refusal to do work,,,,H,,M,3,F,,,,,A16160957BZD
Bayside,8:00am - 9:00am,2024-09-25,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,3,F,,,,,A15437579BZD
Shermer High School,2:00pm -3:00pm,2024-09-24,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,5,F,,,,,A16747604BZD
Bayside,2:00pm -3:00pm,2024-09-25,Minor Violation (5 times in the same quarter),Disruption,,,,B,,F,4,F,,,,,A14517131BZD
Rydell High School,2:00pm -3:00pm,2024-09-25,Minor Violation (5 times in the same quarter),Other,,,,W,,F,1,P,,,,,A15125486BZD
Bayside,1:00pm - 2:00pm,2024-09-25,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,F,,,,,A15470471BZD
Shermer High School,8:00am - 9:00am,2024-09-25,Major Violation,,Exceeded minor maximum count,,,W,,M,9,F,,,,,A13368554BZD
Rydell High School,Unknown,2024-09-16,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,3,F,,,,,A15144356BZD
Rydell High School,12:00pm - 1:00pm,2024-09-25,Minor Violation (5 times in the same quarter),Other,,,,W,,F,3,F,,,,,A15144356BZD
Rydell High School,8:00am - 9:00am,2024-09-26,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,3,F,,,,,A15144356BZD
Rydell High School,11:00am - 12:00pm,2024-08-28,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,P,,,,,A16132079BZD
Rydell High School,11:00am - 12:00pm,2024-08-29,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,P,,,,,A16132079BZD
Bayside,12:00pm - 1:00pm,2024-09-27,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A15717014BZD
Bayside,12:00pm - 1:00pm,2024-09-27,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,F,,,,,A15277364BZD
Shermer High School,12:00pm - 1:00pm,2024-09-30,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,10,F,,,,,A13292480BZD
Rydell High School,2:00pm -3:00pm,2024-09-30,Major Violation,,Continued Misconduct,,,W,,M,4,F,,,,,A15236435BZD
Bayside,1:00pm - 2:00pm,2024-09-30,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,4,F,,,,,A14991482BZD
Rydell High School,2:00pm -3:00pm,2024-09-30,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A15236435BZD
